"keyword","name","address","city","state","zip","country","phone","phonestring","website","email","time"
"ngo in bangladesh","Asia Arsenic Network Bangladesh","Friendship General Hospital, House No.23 Avenue 8, Banasree, Rampura, Dhaka 1219, 7th floor of Yamagata Dhaka, Dhaka"," Dhaka","","1219","","","","/url?q=http://aan-bangladesh.org/&sa=U&ved=0ahUKEwi4nPKQnsfqAhXMbn0KHd92CasQ61gIGCgRMAA&usg=AOvVaw1_R_nLp-yia8P7w8DCEU5V","",""
"ngo in bangladesh","HEED Bangladesh","Soudia Vhaban,Subornoor Chor, Noakhali"," Char Bata","","","","","","/url?q=http://www.heed-bangladesh.com/&sa=U&ved=0ahUKEwi4nPKQnsfqAhXMbn0KHd92CasQ61gIPSgIMAE&usg=AOvVaw0LnIc8PCwELd_zyqseKOgC","",""
"ngo in bangladesh","Breaking The Silence","Breaking the Silence Plot # 2/4, Lalmatia, Block-G, Dhaka 1207"," Dhaka","","1207","","","","/url?q=http://breakingthesilencebd.org/&sa=U&ved=0ahUKEwi4nPKQnsfqAhXMbn0KHd92CasQ61gIZCgPMAI&usg=AOvVaw1ei2lOncXTtpzKPqcWQ_f6","",""
"ngo in bangladesh","ADD International, Bangladesh","B-3, House, ADD International, Basati Samraggi, Flat, # 25 Rd No-6, Dhaka 1213"," Dhaka","","1213","","","","/url?q=http://www.add.org.uk/countries/bangladesh&sa=U&ved=0ahUKEwi4nPKQnsfqAhXMbn0KHd92CasQ61gIkAEoDzAD&usg=AOvVaw2igzKqI6WFQAqy0o-3WEKu","",""
"ngo in bangladesh","COAST Trust","Metro Melody, House 13 Rd No. 2, Dhaka 1207"," Dhaka","","1207","","","","/url?q=http://www.coastbd.net/&sa=U&ved=0ahUKEwi4nPKQnsfqAhXMbn0KHd92CasQ61gIrwEoETAE&usg=AOvVaw2eAV4SR3ldkfOBYvvlVeDU","",""
"ngo in bangladesh","Muslim Aid - UK, Bangladesh Country Office","House No. 13 (4th & 5th Floor), Block J, Road No 27, Dhaka 1213"," Dhaka","","1213","","","","/url?q=http://www.muslimaid.org.bd/&sa=U&ved=0ahUKEwi4nPKQnsfqAhXMbn0KHd92CasQ61gI3QEoETAF&usg=AOvVaw0768ACcm47wwi92-ORWXOh","",""
"ngo in bangladesh","ADAB","Dhaka"," Dhaka","","","","","","/url?q=http://www.adab.org.bd/&sa=U&ved=0ahUKEwi4nPKQnsfqAhXMbn0KHd92CasQ61gIggIoDjAG&usg=AOvVaw1KvnePWAXjejyCF5PF_iGm","",""
"ngo in bangladesh","Friendship","Bus Stand Rd, Kurigram"," Kurigram","","","","","","/url?q=http://www.friendship-bd.org/&sa=U&ved=0ahUKEwi4nPKQnsfqAhXMbn0KHd92CasQ61gIpgIoEDAH&usg=AOvVaw22Z2RQNRPy5HYyDOnp6mjt","",""
"ngo in bangladesh","Ankur ICT Development Foundation","6 Road-06, Dhaka 1230"," Dhaka","","1230","","","","","",""
"ngo in bangladesh","Center for Natural Resource Studies (CNRS)","Blessing Jui, House, 13 Rd No 17, Dhaka 1213"," Dhaka","","1213","","","","/url?q=http://www.cnrs.org.bd/&sa=U&ved=0ahUKEwi4nPKQnsfqAhXMbn0KHd92CasQ61gI4AIoEjAJ&usg=AOvVaw0BhEGHIBmPpvQejBJ_A7id","",""
